,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,zipcode,lat,long
61,289000.0,3,1.75,1260,8400,1.0,0.0,0.0,3,7,98148,47.4366,-122.335
63,549000.0,3,1.75,1540,1044,3.0,0.0,0.0,3,8,98115,47.6765,-122.32
64,425000.0,3,2.25,1660,6000,1.0,0.0,0.0,3,7,98122,47.6113,-122.29700000000001
65,317625.0,3,2.75,2770,3809,1.5,0.0,0.0,5,7,98144,47.5747,-122.304
67,287000.0,4,2.5,2240,4648,2.0,0.0,0.0,3,7,98001,47.3378,-122.257
68,204000.0,3,1.0,1000,12070,1.0,0.0,0.0,4,7,98042,47.3621,-122.11
69,1330000.0,5,2.25,3200,20158,1.0,0.0,0.0,3,8,98004,47.6303,-122.215
70,1040000.0,5,3.25,4770,50094,1.0,0.0,0.0,4,11,98005,47.6525,-122.16
71,325000.0,3,2.0,1260,5612,1.0,0.0,0.0,4,7,98034,47.7362,-122.179
72,571000.0,4,2.0,2750,7807,1.5,0.0,0.0,5,7,98125,47.7168,-122.287
73,360000.0,4,2.5,2380,5000,2.0,0.0,0.0,3,8,98038,47.3608,-122.036
74,349000.0,3,1.75,1790,50529,1.0,0.0,0.0,5,7,98042,47.3511,-122.073
75,832500.0,4,4.0,3430,35102,2.0,0.0,0.0,4,10,98075,47.5822,-121.98700000000001
76,380000.0,4,1.75,1760,7300,1.0,0.0,0.0,3,7,98008,47.6034,-122.125
77,480000.0,3,1.0,1040,5060,1.0,0.0,0.0,3,7,98116,47.5636,-122.39399999999999
78,410000.0,3,1.0,1410,5060,1.0,0.0,0.0,4,7,98133,47.7073,-122.34
79,720000.0,4,2.5,3450,39683,2.0,0.0,0.0,3,10,98010,47.342,-122.025
80,390000.0,3,2.5,2350,5100,2.0,0.0,0.0,3,8,98038,47.3512,-122.008
81,360000.0,4,2.5,1900,5889,2.0,0.0,0.0,3,7,98038,47.349,-122.031
82,355000.0,2,1.0,2020,6720,1.0,0.0,0.0,3,7,98118,47.5474,-122.291
83,356000.0,3,1.5,1680,8712,1.0,0.0,0.0,3,8,98059,47.4811,-122.149
84,315000.0,3,1.0,960,6634,1.0,0.0,0.0,3,6,98125,47.7264,-122.31
85,940000.0,3,1.5,2140,3600,2.0,0.0,0.0,3,9,98119,47.6337,-122.365
86,305000.0,5,2.25,2660,8400,1.5,0.0,0.0,5,7,98092,47.2909,-122.189
88,215000.0,2,2.25,1610,2040,2.0,0.0,0.0,4,7,98056,47.518,-122.194
89,335000.0,2,1.75,1030,1066,2.0,0.0,0.0,3,7,98136,47.5394,-122.387
90,243500.0,4,2.5,1980,7403,2.0,0.0,0.0,3,7,98023,47.2897,-122.37200000000001
91,1100000.0,5,2.75,3520,6353,2.0,0.0,0.0,4,10,98199,47.6506,-122.391
92,153000.0,3,1.0,1200,10500,1.0,0.0,0.0,3,7,98023,47.321999999999996,-122.351
93,430000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,98117,47.687,-122.38600000000001
94,700000.0,3,1.5,1580,5000,1.0,0.0,0.0,3,8,98117,47.687,-122.38600000000001
95,905000.0,4,2.5,3300,10250,1.0,0.0,0.0,3,7,98040,47.5873,-122.249
96,247500.0,3,1.75,1960,15681,1.0,0.0,0.0,3,7,98032,47.3576,-122.277
97,199000.0,4,1.5,1160,6400,1.0,0.0,0.0,4,7,98023,47.3036,-122.37799999999999
98,314000.0,3,1.75,1810,41800,1.0,0.0,0.0,5,7,98038,47.4109,-121.958
99,437500.0,3,2.5,2320,36847,2.0,0.0,2.0,3,9,98045,47.4838,-121.714
100,850830.0,3,2.5,2070,13241,1.5,0.0,0.0,5,9,98102,47.6415,-122.315
101,555000.0,3,2.0,1980,3478,1.5,0.0,0.0,4,7,98117,47.6775,-122.37200000000001
102,699950.0,3,2.25,2190,107593,2.0,0.0,0.0,4,8,98077,47.7731,-122.08
103,1090000.0,3,2.5,2920,8113,2.0,0.0,0.0,3,8,98004,47.5814,-122.196
104,290000.0,3,1.0,1210,33919,1.0,0.0,0.0,3,7,98058,47.4375,-122.184
106,460000.0,3,1.0,1670,4005,1.5,0.0,0.0,4,7,98117,47.6878,-122.38
107,188500.0,2,1.75,1240,2493,1.0,0.0,0.0,4,8,98198,47.3813,-122.322
108,680000.0,4,2.5,3140,28037,2.0,0.0,0.0,4,10,98077,47.7304,-122.08200000000001
109,470000.0,5,1.75,2030,12342,2.0,0.0,0.0,4,7,98052,47.6417,-122.109
110,597750.0,4,2.5,2310,9624,2.0,0.0,0.0,3,8,98027,47.5386,-122.053
111,570000.0,3,1.75,1260,3328,1.0,0.0,0.0,5,6,98103,47.6823,-122.34899999999999
112,272500.0,3,1.75,1540,12600,1.0,0.0,0.0,4,7,98038,47.3624,-122.031
113,329950.0,3,1.75,2080,5969,1.0,0.0,2.0,3,7,98108,47.5474,-122.295
115,740500.0,3,3.5,4380,6350,2.0,0.0,0.0,3,8,98117,47.6981,-122.368
116,518500.0,3,3.5,1590,1102,3.0,0.0,0.0,3,8,98103,47.6824,-122.34700000000001
117,205425.0,2,1.0,880,6780,1.0,0.0,0.0,4,6,98178,47.5009,-122.24799999999999
119,535000.0,4,1.0,1610,2982,1.5,0.0,0.0,4,7,98144,47.586999999999996,-122.294
120,660000.0,3,2.5,2400,6474,1.0,0.0,2.0,3,8,98177,47.7728,-122.38600000000001
121,391500.0,3,2.0,1450,9132,1.0,0.0,0.0,3,7,98034,47.7288,-122.226
122,395000.0,2,1.0,770,6000,1.0,0.0,0.0,3,6,98117,47.6999,-122.36399999999999
124,770000.0,3,2.25,2910,10204,2.0,0.0,0.0,3,9,98052,47.6897,-122.098
125,1450000.0,4,2.75,2750,17789,1.5,0.0,0.0,3,8,98004,47.6141,-122.212
127,260000.0,4,2.25,2160,8811,1.0,0.0,0.0,3,8,98023,47.3129,-122.39
128,822500.0,5,3.5,2320,4960,2.0,0.0,0.0,5,7,98103,47.6763,-122.352
130,212000.0,3,1.75,1060,7875,1.0,0.0,0.0,4,7,98092,47.2761,-122.152
131,660500.0,4,2.25,2010,9603,1.0,0.0,0.0,3,8,98027,47.5343,-122.054
132,784000.0,3,3.5,3950,111078,1.5,0.0,0.0,3,9,98052,47.696999999999996,-122.072
133,453246.0,3,2.5,2010,2287,2.0,0.0,0.0,3,8,98029,47.5517,-121.99799999999999
134,675000.0,4,3.5,2140,2278,3.0,0.0,0.0,3,9,98107,47.6734,-122.38
135,199000.0,3,1.75,1320,17390,1.0,0.0,0.0,4,7,98003,47.3257,-122.296
136,220000.0,4,1.75,2020,7840,1.0,0.0,0.0,3,7,98003,47.3309,-122.29899999999999
137,452000.0,4,2.25,2590,10002,1.0,0.0,0.0,4,8,98028,47.7689,-122.266
138,382500.0,2,1.0,1190,4440,1.0,0.0,0.0,3,6,98125,47.7135,-122.287
139,519950.0,3,2.25,1170,1249,3.0,0.0,0.0,3,8,98107,47.6722,-122.381
140,665000.0,2,1.0,1110,3200,1.0,0.0,0.0,3,7,98119,47.6338,-122.35799999999999
141,527700.0,5,2.5,2820,9375,1.0,0.0,0.0,4,8,98006,47.5707,-122.12799999999999
142,205000.0,3,1.0,1610,8579,1.0,0.0,0.0,4,7,98058,47.4563,-122.171
143,420000.0,3,1.0,1060,8097,1.0,0.0,0.0,4,7,98133,47.7144,-122.351
144,500000.0,4,2.25,2030,8517,1.0,0.0,0.0,4,8,98006,47.5495,-122.17399999999999
145,921500.0,4,2.5,3670,315374,2.0,0.0,0.0,4,9,98077,47.7421,-122.02600000000001
146,890000.0,4,1.0,2550,4000,2.0,0.0,0.0,3,8,98109,47.6354,-122.353
147,430000.0,2,2.5,2420,60984,2.0,0.0,0.0,3,7,98027,47.5262,-121.943
148,258000.0,5,2.0,2260,12500,1.0,0.0,0.0,4,8,98032,47.3887,-122.286
149,511000.0,3,1.0,1430,3455,1.0,0.0,0.0,3,7,98103,47.6873,-122.336
150,532170.0,3,2.0,1360,3090,2.0,0.0,0.0,3,8,98103,47.6838,-122.353
151,560000.0,3,1.0,1110,5000,1.5,0.0,0.0,3,7,98107,47.655,-122.359
153,2250000.0,4,3.25,5180,19850,2.0,0.0,3.0,3,12,98006,47.562,-122.162
154,350000.0,1,1.0,700,5100,1.0,0.0,0.0,3,7,98115,47.678999999999995,-122.3
155,215000.0,3,1.0,1180,7669,1.0,0.0,0.0,4,7,98058,47.4479,-122.176
156,650000.0,5,3.5,3960,25245,2.0,0.0,0.0,3,9,98056,47.525,-122.17200000000001
157,320000.0,4,2.75,2640,7500,1.0,0.0,0.0,3,8,98023,47.3135,-122.369
158,247000.0,3,2.0,1270,7198,1.5,0.0,0.0,3,7,98022,47.2086,-121.99600000000001
159,320000.0,4,1.75,1760,11180,1.0,0.0,0.0,4,8,98059,47.4715,-122.118
160,255000.0,5,2.25,2060,8632,1.0,0.0,0.0,3,7,98146,47.4877,-122.335
161,438000.0,3,1.75,1780,9660,1.0,0.0,0.0,3,7,98034,47.7171,-122.193
162,900000.0,3,2.5,3400,16603,2.0,0.0,0.0,3,10,98075,47.6012,-122.023
163,441000.0,3,2.75,1910,7280,1.0,0.0,0.0,3,7,98034,47.7319,-122.22399999999999
164,420000.0,3,2.0,2020,38332,1.0,0.0,0.0,4,7,98027,47.4582,-122.023
165,370000.0,3,1.75,1580,7000,1.0,0.0,0.0,3,7,98034,47.7209,-122.16799999999999
166,269950.0,2,1.75,1340,7250,1.0,0.0,0.0,5,5,98198,47.408,-122.32700000000001
167,807100.0,4,2.5,2680,4499,2.0,0.0,0.0,3,9,98006,47.565,-122.125
168,653000.0,3,2.5,2680,9750,1.0,0.0,0.0,4,8,98034,47.7028,-122.23100000000001
170,284000.0,3,1.75,1560,21000,1.0,0.0,0.0,3,7,98166,47.4776,-122.337
171,272000.0,3,1.75,2160,7140,1.0,0.0,0.0,4,7,98023,47.3026,-122.374
173,917500.0,4,2.5,3880,35003,2.0,0.0,0.0,3,10,98033,47.6477,-122.182
174,673000.0,4,2.25,2590,8190,2.0,0.0,0.0,4,8,98006,47.5619,-122.125
175,425000.0,3,2.5,1120,1100,2.0,0.0,0.0,3,8,98122,47.6106,-122.31
176,399950.0,5,2.75,1970,5400,1.0,0.0,0.0,3,7,98144,47.5868,-122.30799999999999
177,385000.0,3,1.0,1220,4800,1.0,0.0,0.0,3,6,98122,47.6101,-122.307
178,269950.0,3,1.5,1950,7560,1.0,0.0,2.0,4,7,98022,47.1976,-121.999
180,260000.0,3,2.5,1670,5797,2.0,0.0,0.0,3,7,98030,47.3505,-122.179
181,470000.0,4,3.0,2380,5125,1.5,0.0,0.0,4,7,98126,47.5384,-122.376
183,163500.0,2,1.5,1050,3419,2.0,0.0,0.0,3,7,98038,47.3848,-122.039
184,835000.0,4,2.75,3130,13412,2.0,0.0,0.0,3,9,98052,47.6993,-122.102
185,1100000.0,5,3.0,4090,12850,1.0,0.0,2.0,4,10,98033,47.6627,-122.18799999999999
186,269000.0,4,1.75,1490,10000,1.0,0.0,0.0,4,8,98023,47.3099,-122.37899999999999
187,560000.0,3,2.5,1900,8744,2.0,0.0,0.0,3,8,98074,47.62,-122.04299999999999
189,585188.0,3,2.25,2230,10026,1.0,0.0,0.0,3,8,98052,47.6647,-122.15299999999999
190,305000.0,3,1.75,1650,9480,1.0,0.0,0.0,3,7,98034,47.726000000000006,-122.191
191,166950.0,3,1.0,1190,8820,1.0,0.0,0.0,3,6,98058,47.4616,-122.184
192,799000.0,3,2.5,2140,9897,1.0,0.0,0.0,4,8,98040,47.5505,-122.219
193,400000.0,3,2.5,2180,7508,1.0,0.0,0.0,4,7,98133,47.7606,-122.336
194,230000.0,3,1.0,1060,10228,1.0,0.0,0.0,3,7,98155,47.7481,-122.3
195,256883.0,3,2.5,1690,5025,2.0,0.0,0.0,3,8,98023,47.2779,-122.34700000000001
196,423000.0,4,2.0,1970,6480,1.5,0.0,0.0,5,7,98108,47.5511,-122.31200000000001
198,440000.0,3,2.5,1910,66211,2.0,0.0,0.0,3,7,98024,47.5385,-121.911
199,385000.0,3,1.75,1350,155073,1.0,0.0,0.0,4,7,98038,47.4058,-121.994
201,297000.0,3,2.5,1940,14952,2.0,0.0,0.0,3,8,98042,47.3777,-122.165
202,470000.0,3,1.0,1010,5000,1.0,0.0,0.0,3,7,98107,47.675,-122.39399999999999
203,226500.0,3,1.5,1300,7370,1.0,0.0,0.0,4,7,98023,47.3025,-122.37
204,274250.0,3,1.0,910,8450,1.0,0.0,0.0,4,6,98059,47.4787,-122.15799999999999
206,677900.0,3,2.5,2440,4587,2.0,0.0,0.0,3,8,98052,47.7073,-122.11399999999999
207,425000.0,3,1.0,1010,5864,1.0,0.0,0.0,3,7,98116,47.5733,-122.381
208,180250.0,2,0.75,900,9600,1.0,0.0,0.0,3,6,98166,47.4604,-122.339
209,464000.0,6,3.0,2300,3404,2.0,0.0,0.0,3,7,98133,47.7067,-122.34299999999999
211,625504.0,3,2.25,1270,1566,2.0,0.0,0.0,3,8,98105,47.6647,-122.28399999999999
212,592500.0,4,2.5,2240,12032,1.0,0.0,0.0,3,9,98074,47.6143,-122.01700000000001
213,465000.0,3,2.5,2714,17936,2.0,0.0,0.0,3,9,98001,47.3185,-122.275
214,477000.0,4,2.75,1720,6270,2.0,0.0,0.0,3,8,98118,47.5458,-122.26799999999999
215,280000.0,2,1.0,850,16400,1.0,0.0,0.0,3,6,98168,47.4889,-122.29899999999999
217,445838.0,3,2.5,2250,5692,2.0,0.0,0.0,3,8,98146,47.5133,-122.37899999999999
218,1070000.0,2,2.25,3900,14864,1.0,0.0,3.0,3,8,98144,47.5884,-122.291
219,467000.0,2,1.5,1320,10800,1.0,0.0,0.0,4,8,98177,47.7145,-122.367
220,686000.0,4,2.5,2760,6440,2.0,0.0,0.0,3,10,98075,47.5836,-122.02600000000001
221,279950.0,3,2.0,1750,9750,1.0,0.0,0.0,3,7,98198,47.398,-122.29899999999999
222,527000.0,4,2.25,2330,19436,2.0,0.0,0.0,3,8,98011,47.7663,-122.215
223,325000.0,3,2.25,2220,16020,1.0,0.0,0.0,4,8,98030,47.3758,-122.21700000000001
224,328000.0,3,2.25,2020,8379,2.0,0.0,0.0,3,7,98038,47.3828,-122.023
225,390000.0,3,2.25,1250,7500,1.0,0.0,0.0,5,7,98146,47.5123,-122.37299999999999
228,235000.0,3,1.0,1430,15246,1.0,0.0,0.0,4,7,98031,47.4075,-122.214
229,516500.0,3,2.5,1480,4729,2.0,0.0,0.0,3,7,98053,47.6794,-122.03399999999999
230,655000.0,2,1.75,1450,15798,2.0,1.0,4.0,3,7,98166,47.4497,-122.375
231,500000.0,4,2.75,2280,15347,1.0,0.0,0.0,5,7,98059,47.5218,-122.164
232,315000.0,6,2.75,2940,7350,1.0,0.0,0.0,3,8,98023,47.3103,-122.339
233,213000.0,2,1.0,1000,10200,1.0,0.0,0.0,3,6,98024,47.5687,-121.899
234,475000.0,3,1.5,2480,5280,1.5,0.0,0.0,5,7,98108,47.5575,-122.303
235,1030000.0,5,4.0,3760,28040,2.0,0.0,0.0,3,10,98033,47.6489,-122.18299999999999
236,416000.0,3,2.0,2220,94300,1.0,0.0,0.0,5,7,98010,47.3459,-121.95
237,410000.0,4,1.0,1970,4740,1.5,0.0,0.0,3,7,98122,47.6136,-122.303
238,800000.0,3,3.5,3830,221284,2.0,0.0,0.0,3,10,98077,47.7641,-122.023
239,472000.0,6,2.5,4410,14034,1.0,0.0,2.0,4,9,98003,47.3376,-122.324
240,225000.0,3,1.75,1430,8505,1.0,0.0,0.0,4,7,98003,47.3173,-122.319
241,210000.0,2,1.0,830,6000,1.0,0.0,0.0,3,6,98126,47.5308,-122.376
242,455000.0,2,1.0,1430,5000,1.5,0.0,0.0,2,7,98115,47.6727,-122.29899999999999
243,225000.0,3,1.0,1300,8316,1.0,0.0,0.0,4,6,98002,47.3221,-122.21600000000001
244,480000.0,2,1.0,1030,3060,1.0,0.0,2.0,4,7,98103,47.6779,-122.353
245,363000.0,3,2.5,2740,11872,2.0,0.0,0.0,3,9,98023,47.3076,-122.395
246,2400000.0,4,2.5,3650,8354,1.0,1.0,4.0,3,9,98074,47.6338,-122.072
247,181000.0,2,1.5,720,5120,1.0,0.0,0.0,3,6,98106,47.5218,-122.35700000000001
248,250000.0,4,2.0,2010,7312,1.0,0.0,0.0,4,7,98002,47.2785,-122.213
249,481000.0,3,1.75,1560,3000,1.0,0.0,0.0,4,6,98103,47.6846,-122.345
250,260000.0,3,2.0,1810,7209,1.0,0.0,0.0,4,7,98032,47.3656,-122.27799999999999
251,455000.0,4,2.5,3360,7685,2.0,0.0,0.0,3,9,98058,47.4369,-122.111
252,415000.0,3,2.25,1510,36224,2.0,0.0,0.0,3,8,98045,47.4616,-121.711
253,349500.0,3,1.0,1400,3538,1.0,0.0,0.0,3,7,98118,47.5405,-122.27
254,245000.0,3,2.5,1730,7442,2.0,0.0,0.0,3,7,98030,47.3507,-122.178
255,592500.0,2,2.0,1420,9191,1.5,0.0,2.0,5,7,98115,47.6979,-122.32
256,385000.0,4,1.75,2360,7620,1.0,0.0,0.0,4,7,98106,47.5278,-122.345
257,315000.0,3,1.75,1580,11455,1.0,0.0,0.0,4,7,98059,47.4756,-122.147
258,255000.0,3,1.0,1230,10170,1.0,0.0,0.0,3,7,98045,47.4437,-121.772
260,780000.0,3,1.0,1660,4400,1.5,0.0,0.0,3,8,98112,47.6362,-122.302
261,237000.0,3,1.75,1270,8470,1.0,0.0,0.0,4,7,98198,47.4207,-122.29
262,525000.0,3,2.25,2100,40510,2.0,0.0,0.0,3,10,98074,47.6154,-122.04700000000001
263,425000.0,2,1.0,770,5040,1.0,0.0,0.0,3,5,98144,47.5964,-122.29899999999999
264,369900.0,1,0.75,760,10079,1.0,1.0,4.0,5,5,98070,47.4683,-122.43799999999999
265,290000.0,4,2.5,1700,7280,2.0,0.0,0.0,4,7,98031,47.4045,-122.171
266,285000.0,3,1.0,1120,10701,1.0,0.0,0.0,3,7,98106,47.5544,-122.35799999999999
267,415000.0,2,1.0,1070,4500,1.0,0.0,0.0,3,7,98115,47.6802,-122.29
268,272500.0,3,2.5,2070,9900,1.0,0.0,0.0,3,8,98023,47.2988,-122.37100000000001
269,2900000.0,4,3.25,5050,20100,1.5,0.0,2.0,3,11,98004,47.6312,-122.223
270,1370000.0,4,4.75,5310,57346,2.0,0.0,0.0,4,11,98077,47.7285,-122.042
272,210000.0,3,1.0,1700,11390,1.0,0.0,0.0,4,7,98003,47.3271,-122.323
274,331000.0,3,1.75,1080,1306,1.0,0.0,0.0,3,7,98199,47.6601,-122.4
275,365000.0,3,2.5,2653,4510,2.0,0.0,0.0,3,8,98031,47.4145,-122.166
276,450000.0,3,2.0,2290,16258,1.0,0.0,0.0,5,8,98058,47.4672,-122.165
277,770000.0,4,2.75,3820,26300,2.0,0.0,0.0,3,9,98028,47.7618,-122.26100000000001
278,455000.0,4,2.5,2210,49375,1.0,0.0,0.0,3,8,98038,47.3828,-122.071
279,405000.0,3,1.75,2390,6000,1.0,0.0,0.0,3,6,98118,47.5362,-122.26799999999999
280,304900.0,4,1.75,2600,11325,1.0,0.0,0.0,4,7,98031,47.3954,-122.206
281,170000.0,2,1.0,860,5265,1.0,0.0,0.0,3,6,98178,47.5048,-122.272
282,2050000.0,5,3.0,3830,8480,2.0,0.0,1.0,5,9,98122,47.6166,-122.287
283,780000.0,4,2.5,3500,7048,2.0,0.0,0.0,3,9,98053,47.6811,-122.025
284,330000.0,3,3.0,2420,13959,1.0,0.0,0.0,4,8,98028,47.7486,-122.23
285,370000.0,4,2.5,2720,8666,2.0,0.0,0.0,3,9,98030,47.3846,-122.169
286,467000.0,5,2.25,2500,13500,1.0,0.0,0.0,3,7,98072,47.7564,-122.14399999999999
288,675000.0,5,2.25,2900,10300,1.0,0.0,0.0,3,8,98006,47.5461,-122.15100000000001
289,500000.0,2,1.0,1640,14100,1.0,0.0,0.0,4,7,98006,47.5712,-122.14299999999999
291,630000.0,4,1.75,2950,9025,1.0,0.0,2.0,4,8,98034,47.7128,-122.223
292,360000.0,4,2.5,2160,9528,2.0,0.0,0.0,3,9,98001,47.3341,-122.255
293,580000.0,4,3.0,3280,11060,2.0,0.0,0.0,3,8,98056,47.5399,-122.181
294,550000.0,3,2.0,1970,4166,2.0,0.0,3.0,5,8,98126,47.5717,-122.375
295,879000.0,4,2.5,3360,22111,2.0,0.0,0.0,3,10,98075,47.5951,-122.01700000000001
298,404000.0,3,1.5,2030,8880,1.0,0.0,0.0,3,7,98108,47.5586,-122.311
299,267500.0,3,1.75,1590,11914,1.0,0.0,2.0,3,7,98188,47.4427,-122.274
300,3080000.0,4,5.0,4550,18641,1.0,1.0,4.0,3,10,98074,47.6053,-122.07700000000001
301,335000.0,3,2.5,2440,7632,2.0,0.0,0.0,3,8,98003,47.3494,-122.301
303,208633.0,3,2.5,2040,3810,2.0,0.0,0.0,3,8,98038,47.3537,-122.0
304,315000.0,3,2.25,2200,8750,1.0,0.0,0.0,4,7,98166,47.476000000000006,-122.337
305,725000.0,3,1.75,1920,3300,1.0,0.0,0.0,4,8,98112,47.6239,-122.29799999999999
306,550000.0,4,2.75,1800,7750,1.0,0.0,0.0,4,8,98177,47.7776,-122.384
307,610750.0,4,2.25,2180,7297,2.0,0.0,0.0,3,8,98074,47.6459,-122.05799999999999
308,550700.0,2,1.0,1010,5000,1.5,0.0,0.0,4,6,98105,47.6692,-122.29700000000001
310,834000.0,4,2.5,2370,4000,1.5,0.0,2.0,5,8,98144,47.601000000000006,-122.294
311,201000.0,5,1.75,1660,78408,1.5,0.0,0.0,3,6,98065,47.528999999999996,-121.837
312,2380000.0,5,2.5,3650,9050,2.0,0.0,4.0,5,10,98119,47.6345,-122.367
313,1380000.0,4,3.25,4290,12103,1.0,0.0,3.0,3,11,98006,47.5503,-122.102
314,1400000.0,4,3.25,4290,12103,1.0,0.0,3.0,3,11,98006,47.5503,-122.102
315,305000.0,4,2.25,1950,7700,1.0,0.0,0.0,3,8,98058,47.4441,-122.125
316,487000.0,3,2.0,2590,14052,1.0,0.0,0.0,5,8,98133,47.7357,-122.333
317,390000.0,3,2.5,1930,64904,1.0,0.0,0.0,4,8,98042,47.346000000000004,-122.15700000000001
318,548000.0,2,1.0,1470,3864,1.0,0.0,0.0,4,7,98103,47.6638,-122.345
