,alias,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url
10,starbucks-issaquah-9,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.5361992, 'longitude': -122.021519}",(425) 313-2376,20825.15270028454,QWC5ex66wrAC42pT8yI__Q,https://s3-media3.fl.yelpcdn.com/bphoto/S_LJosqOczPyIlsNQPf2Hw/o.jpg,False,"{'address1': '751 NE Blakely Dr', 'address2': '', 'address3': 'Swedish Health Services-Issaquah Ca', 'city': 'Issaquah', 'zip_code': '98029', 'country': 'US', 'state': 'WA', 'display_address': ['751 NE Blakely Dr', 'Swedish Health Services-Issaquah Ca', 'Issaquah, WA 98029']}",Starbucks,+14253132376,$,2.5,10,['delivery'],https://www.yelp.com/biz/starbucks-issaquah-9?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
11,starbucks-issaquah-14,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.541324, 'longitude': -122.019632}",(425) 369-3113,21042.05861299658,56RvObIKBIE5VfldXzU9Ug,https://s3-media3.fl.yelpcdn.com/bphoto/Kmdd9vY3-cHtWxafZvJ78w/o.jpg,False,"{'address1': '1451 Highlands Dr NE', 'address2': None, 'address3': 'Safeway', 'city': 'Issaquah', 'zip_code': '98029', 'country': 'US', 'state': 'WA', 'display_address': ['1451 Highlands Dr NE', 'Safeway', 'Issaquah, WA 98029']}",Starbucks,+14253693113,,4.0,3,['delivery'],https://www.yelp.com/biz/starbucks-issaquah-14?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
12,starbucks-issaquah-6,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.54316, 'longitude': -122.020006}",(425) 391-8270,21186.274327098832,LIMsxk_UngPrVnLRd5HR_Q,https://s3-media1.fl.yelpcdn.com/bphoto/iQ2K40tA5bQuxCTEnKZpaw/o.jpg,False,"{'address1': '903 NE Park Dr', 'address2': '', 'address3': '', 'city': 'Issaquah', 'zip_code': '98029', 'country': 'US', 'state': 'WA', 'display_address': ['903 NE Park Dr', 'Issaquah, WA 98029']}",Starbucks,+14253918270,$$,2.5,80,['delivery'],https://www.yelp.com/biz/starbucks-issaquah-6?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
13,starbucks-sammamish-7,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.565905, 'longitude': -122.003763}",(425) 392-1768,21898.721324128466,sV_hjD64umFrOXJMUiFyeg,https://s3-media2.fl.yelpcdn.com/bphoto/TyUEhQSn3I9prBdgW9Lk9w/o.jpg,False,"{'address1': '4566 Klahanie Dr SE', 'address2': '', 'address3': '', 'city': 'Sammamish', 'zip_code': '98029', 'country': 'US', 'state': 'WA', 'display_address': ['4566 Klahanie Dr SE', 'Sammamish, WA 98029']}",Starbucks,+14253921768,$$,2.5,15,['delivery'],https://www.yelp.com/biz/starbucks-sammamish-7?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
14,starbucks-issaquah-8,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.565903, 'longitude': -122.00376}",(425) 392-2776,21898.40492652273,aYvKDgYMW16eIgSvXxG3Ww,https://s3-media1.fl.yelpcdn.com/bphoto/Zm4aa9hKTIbXDeEvNt0H-w/o.jpg,False,"{'address1': '4570 Klahanie Dr SE', 'address2': '', 'address3': 'QFC', 'city': 'Issaquah', 'zip_code': '98029', 'country': 'US', 'state': 'WA', 'display_address': ['4570 Klahanie Dr SE', 'QFC', 'Issaquah, WA 98029']}",Starbucks,+14253922776,$,3.5,2,['delivery'],https://www.yelp.com/biz/starbucks-issaquah-8?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
15,starbucks-issaquah-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.547363, 'longitude': -122.039212}",(425) 394-0196,22626.013028369736,PlemhKWOLbZ5_9Z3LofEuA,https://s3-media1.fl.yelpcdn.com/bphoto/GE2Ktrb5joyVcwxgKxKnlA/o.jpg,False,"{'address1': '6170 E Lake Sammamish Pkwy SE', 'address2': '', 'address3': '', 'city': 'Issaquah', 'zip_code': '98029', 'country': 'US', 'state': 'WA', 'display_address': ['6170 E Lake Sammamish Pkwy SE', 'Issaquah, WA 98029']}",Starbucks,+14253940196,$$,2.0,96,['delivery'],https://www.yelp.com/biz/starbucks-issaquah-3?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
16,starbucks-issaquah-11,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.5487284, 'longitude': -122.03886}",(425) 416-1100,22693.17028448329,BQgGmtLK1fmHRD4fvDKnug,https://s3-media1.fl.yelpcdn.com/bphoto/kUNM55l2Vkm1LT1ncMreBQ/o.jpg,False,"{'address1': '6100 E Lake Sammamish SE', 'address2': '', 'address3': 'Fred Meyer', 'city': 'Issaquah', 'zip_code': '98029', 'country': 'US', 'state': 'WA', 'display_address': ['6100 E Lake Sammamish SE', 'Fred Meyer', 'Issaquah, WA 98029']}",Starbucks,+14254161100,,1.0,9,['delivery'],https://www.yelp.com/biz/starbucks-issaquah-11?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
17,starbucks-issaquah-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.541701, 'longitude': -122.047569}",(425) 313-1689,22787.531527461288,M0X1VvgS4vhqtBLB3Zbk6A,https://s3-media1.fl.yelpcdn.com/bphoto/CJ33LoIWivbXgWDCoFeD7A/o.jpg,False,"{'address1': '725 NW Gilman Blvd', 'address2': '', 'address3': '', 'city': 'Issaquah', 'zip_code': '98027', 'country': 'US', 'state': 'WA', 'display_address': ['725 NW Gilman Blvd', 'Issaquah, WA 98027']}",Starbucks,+14253131689,$$,3.0,34,['delivery'],https://www.yelp.com/biz/starbucks-issaquah-4?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
18,starbucks-issaquah,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.545932, 'longitude': -122.059596}",(425) 427-1890,23800.53902472674,tR2h5kABKievAIn6xwNHwg,https://s3-media2.fl.yelpcdn.com/bphoto/EE2F64tojLXdfJH7PvSbsQ/o.jpg,False,"{'address1': '1460 Nw Gilman Blvd', 'address2': 'Ste K1', 'address3': None, 'city': 'Issaquah', 'zip_code': '98027', 'country': 'US', 'state': 'WA', 'display_address': ['1460 Nw Gilman Blvd', 'Ste K1', 'Issaquah, WA 98027']}",Starbucks,+14254271890,$$,3.5,51,['delivery'],https://www.yelp.com/biz/starbucks-issaquah?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
19,starbucks-issaquah-7,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.546471, 'longitude': -122.060334}",(425) 392-4475,23879.666874027447,2Z2t1RwrAHnanpIB75G-ew,https://s3-media4.fl.yelpcdn.com/bphoto/Q9cBAeasLnF9eec5ytxP3Q/o.jpg,False,"{'address1': '1540 NW Gilman Blvd', 'address2': '', 'address3': 'QFC', 'city': 'Issaquah', 'zip_code': '98027', 'country': 'US', 'state': 'WA', 'display_address': ['1540 NW Gilman Blvd', 'QFC', 'Issaquah, WA 98027']}",Starbucks,+14253924475,$$,4.5,2,['delivery'],https://www.yelp.com/biz/starbucks-issaquah-7?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
20,starbucks-covington-9,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.35838, 'longitude': -122.098655}",(253) 258-1089,24203.60414848457,JLhxxw1I8XKl-syO1BRbtQ,https://s3-media2.fl.yelpcdn.com/bphoto/bq9FA6AjFN5-8ZFS3Fs93A/o.jpg,False,"{'address1': '27177 185th Ave SE', 'address2': 'Ste 101', 'address3': '', 'city': 'Covington', 'zip_code': '98042', 'country': 'US', 'state': 'WA', 'display_address': ['27177 185th Ave SE', 'Ste 101', 'Covington, WA 98042']}",Starbucks,+12532581089,$$,3.0,14,['delivery'],https://www.yelp.com/biz/starbucks-covington-9?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
21,starbucks-sammamish,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.583347, 'longitude': -122.033815}",(425) 391-8595,24868.18973774919,QflhwIM7QqDvxkT83Oq-Zg,https://s3-media4.fl.yelpcdn.com/bphoto/I55CSg1GBWMj6ikCXiaF4A/o.jpg,False,"{'address1': '3016 Issaquah-Pine Lake Rd SE', 'address2': '', 'address3': '', 'city': 'Sammamish', 'zip_code': '98075', 'country': 'US', 'state': 'WA', 'display_address': ['3016 Issaquah-Pine Lake Rd SE', 'Sammamish, WA 98075']}",Starbucks,+14253918595,$$,2.5,20,['delivery'],https://www.yelp.com/biz/starbucks-sammamish?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
22,starbucks-covington-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.358481, 'longitude': -122.110778}",(253) 630-6193,25065.212881536434,d2rz6IC_646u5_-OLV8o5w,https://s3-media3.fl.yelpcdn.com/bphoto/TW5z64jIyFq9RMeYOqrSLg/o.jpg,False,"{'address1': '17313 SE 270th Pl', 'address2': 'Ste 102', 'address3': None, 'city': 'Covington', 'zip_code': '98042', 'country': 'US', 'state': 'WA', 'display_address': ['17313 SE 270th Pl', 'Ste 102', 'Covington, WA 98042']}",Starbucks,+12536306193,$$,2.0,22,['delivery'],https://www.yelp.com/biz/starbucks-covington-4?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
23,starbucks-covington-12,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.356603, 'longitude': -122.114779}",(253) 630-0063,25417.14453500999,ii5_Hr09lIUxWUTskM358g,https://s3-media4.fl.yelpcdn.com/bphoto/lzd-nZYu-9eK13jmsSr1QQ/o.jpg,False,"{'address1': '17051 SE 272nd St', 'address2': '', 'address3': 'Safeway', 'city': 'Covington', 'zip_code': '98042', 'country': 'US', 'state': 'WA', 'display_address': ['17051 SE 272nd St', 'Safeway', 'Covington, WA 98042']}",Starbucks,+12536300063,$$,5.0,1,['delivery'],https://www.yelp.com/biz/starbucks-covington-12?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
24,starbucks-covington-3,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.358447, 'longitude': -122.117453}",(253) 630-5125,25544.20292061446,gjZIUk7Tc-QvwxBIpmqzng,https://s3-media1.fl.yelpcdn.com/bphoto/zucbQ8ullGeUYUVi_49L3Q/o.jpg,False,"{'address1': '27116 168th Pl SE', 'address2': 'Ste 101', 'address3': '', 'city': 'Covington', 'zip_code': '98042', 'country': 'US', 'state': 'WA', 'display_address': ['27116 168th Pl SE', 'Ste 101', 'Covington, WA 98042']}",Starbucks,+12536305125,$,3.5,27,['delivery'],https://www.yelp.com/biz/starbucks-covington-3?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
25,starbucks-carnation,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.647075, 'longitude': -121.915619}",(425) 333-6767,25914.510057604086,xwfOKk3te4q2sCbB68XhBg,https://s3-media4.fl.yelpcdn.com/bphoto/AaQ_sG5E-r1SbqXVdzhN0g/o.jpg,False,"{'address1': '31722 E Eugene St', 'address2': 'Ste 8', 'address3': '', 'city': 'Carnation', 'zip_code': '98014', 'country': 'US', 'state': 'WA', 'display_address': ['31722 E Eugene St', 'Ste 8', 'Carnation, WA 98014']}",Starbucks,+14253336767,$$,4.0,11,[],https://www.yelp.com/biz/starbucks-carnation?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
26,starbucks-renton-30,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.464936, 'longitude': -122.137244}",(425) 757-0025,26089.05052270225,aHGizYt_bCrkO4L8X1WEJg,https://s3-media3.fl.yelpcdn.com/bphoto/5JGVymr7lKzOKkAPC1oyLQ/o.jpg,False,"{'address1': '15221 SE Renton Maple Valley Rd', 'address2': '', 'address3': None, 'city': 'Renton', 'zip_code': '98058', 'country': 'US', 'state': 'WA', 'display_address': ['15221 SE Renton Maple Valley Rd', 'Renton, WA 98058']}",Starbucks,+14257570025,$$,2.5,24,['delivery'],https://www.yelp.com/biz/starbucks-renton-30?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
27,starbucks-renton-21,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.445922, 'longitude': -122.152482}",(425) 793-1134,26996.205012625138,XgYb4mII840Ec4FYihikrw,https://s3-media2.fl.yelpcdn.com/bphoto/XFB920aZMxMgf59yhYpolA/o.jpg,False,"{'address1': '14022 SE Petrovitsky Rd', 'address2': '', 'address3': '', 'city': 'Renton', 'zip_code': '98058', 'country': 'US', 'state': 'WA', 'display_address': ['14022 SE Petrovitsky Rd', 'Renton, WA 98058']}",Starbucks,+14257931134,$$,2.5,44,['delivery'],https://www.yelp.com/biz/starbucks-renton-21?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
28,starbucks-renton-24,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.4475109, 'longitude': -122.1524616}",(425) 228-1740,27007.267141733202,JVVL34RXZk7lCZc_PiwlPg,https://s3-media2.fl.yelpcdn.com/bphoto/xTKgwQRUCFjl2lhkGdx5ow/o.jpg,False,"{'address1': '17230 140th Ave SE', 'address2': '', 'address3': '', 'city': 'Renton', 'zip_code': '98058', 'country': 'US', 'state': 'WA', 'display_address': ['17230 140th Ave SE', 'Renton, WA 98058']}",Starbucks,+14252281740,$$,2.0,4,['delivery'],https://www.yelp.com/biz/starbucks-renton-24?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
29,starbucks-sammamish-4,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.61262, 'longitude': -122.035014}",(425) 369-9480,27274.93785628271,m7mBrd8H8i-1jKR0ozbsrg,https://s3-media3.fl.yelpcdn.com/bphoto/MJsrRtJRoJOhEeXm0uq7mQ/o.jpg,False,"{'address1': '340 228th Ave NE', 'address2': '', 'address3': '', 'city': 'Sammamish', 'zip_code': '98074', 'country': 'US', 'state': 'WA', 'display_address': ['340 228th Ave NE', 'Sammamish, WA 98074']}",Starbucks,+14253699480,$$,3.0,24,['delivery'],https://www.yelp.com/biz/starbucks-sammamish-4?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
30,starbucks-sammamish-2,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.614779, 'longitude': -122.0337564}",(425) 836-8641,27392.965515410917,KXqjZegkR4acuSSYLcONpw,https://s3-media3.fl.yelpcdn.com/bphoto/1nf6b5ZA-2DPiBN-jhvgeQ/o.jpg,False,"{'address1': '604 228th Ave NE', 'address2': '', 'address3': '', 'city': 'Sammamish', 'zip_code': '98074', 'country': 'US', 'state': 'WA', 'display_address': ['604 228th Ave NE', 'Sammamish, WA 98074']}",Starbucks,+14258368641,$,3.0,15,['delivery'],https://www.yelp.com/biz/starbucks-sammamish-2?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
31,starbucks-renton-34,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'latitude': 47.489914, 'longitude': -122.154979}",(425) 226-7086,27943.313549105336,PVYwGKb5qH3gH_cVBrRQXA,https://s3-media3.fl.yelpcdn.com/bphoto/LW0gm5yhhILBkQV-0o_5OQ/o.jpg,False,"{'address1': '4800 NE 4th St', 'address2': None, 'address3': 'QFC', 'city': 'Renton', 'zip_code': '98059', 'country': 'US', 'state': 'WA', 'display_address': ['4800 NE 4th St', 'QFC', 'Renton, WA 98059']}",Starbucks,+14252267086,,5.0,1,['delivery'],https://www.yelp.com/biz/starbucks-renton-34?adjust_creative=n_yvLk2fTavZ9dVQvaNbMg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=n_yvLk2fTavZ9dVQvaNbMg
