,price,sqft_living,grade,lat,long,min_dist_park,closest_distance_to_top_school,closest_distance_to_great_coffee,closest_distance_to_scientology,log_school,log_coffee,log_scientology,log_park,min_dist_park_rv
30,580500,2320,8,47.5391,-122.07,6.020056255,1.504645738,2.254193505,21.08705972,0.40855748,0.812792261,3.048659569,1.795096604,1.34774
31,280000,1190,7,47.7274,-122.357,0.915101023,0.975315676,17.29063476,10.55300766,-0.02499409,2.850165012,2.356410906,-0.088720812,5.24915
32,687500,2330,7,47.6823,-122.368,1.916418789,0.296353008,15.02545882,6.683290958,-1.21620394,2.709746017,1.899610525,0.65045823,6.58588
33,535000,1090,8,47.6889,-122.375,1.745087208,1.058051432,15.83363107,7.470443436,0.056428945,2.762136227,2.01095436,0.55680453,6.67277
34,322500,2060,7,47.4276,-122.157,4.520919558,5.892251185,4.935193079,24.46573799,1.773638129,1.596391797,3.197273689,1.508715415,0.56865
35,696000,2300,8,47.6827,-122.31,0.651049425,0.300226717,11.37557715,7.635653603,-1.203217368,2.431468702,2.032828541,-0.429169718,4.39129
36,550000,1660,5,47.6621,-122.132,1.54529438,0.643029249,2.183806375,15.55914792,-0.441565068,0.781069398,2.744648756,0.435214429,1.08441
37,640000,2360,8,47.6702,-122.362,2.359846879,0.151399426,14.04240403,5.317855515,-1.887833726,2.642081611,1.671070123,0.858596735,6.80254
38,240000,1220,7,47.3341,-122.282,6.592525205,15.05155483,12.66689366,31.42862894,2.711481297,2.538991791,3.447719227,1.885936463,0.40457
39,605000,2620,8,47.5301,-122.18,1.541351432,1.501627166,6.009382507,14.55403725,0.406549298,1.793321999,2.677868429,0.432659585,0.96026
40,625000,2570,9,47.6145,-122.027,5.421974551,0.548590111,8.341230833,22.5309247,-0.600403726,2.121210787,3.114888797,1.690460057,1.47576
41,775000,4220,8,47.445,-122.347,0.755975304,7.924325959,9.567144287,18.96596288,2.069937264,2.258334758,2.942645945,-0.279746571,4.09666
42,861990,3595,9,47.6848,-122.016,0.988391834,1.196886287,7.803810856,24.59422638,0.179723424,2.054612186,3.202511715,-0.011676067,0.95781
43,685000,1570,7,47.6413,-122.364,2.458491434,0.332724875,13.25208346,2.115628521,-1.100439333,2.584154782,0.749351941,0.899547924,7.04704
44,309000,1280,6,47.4485,-122.175,4.855598997,5.418757832,3.513602336,21.77696513,1.689866607,1.256641818,3.080852766,1.580132471,0.46977
45,488000,3160,8,47.7443,-121.977,1.474661912,5.431529379,12.86813703,26.58535496,1.692220748,2.554754258,3.280360499,0.388428751,1.55795
46,210490,990,6,47.3066,-122.371,7.035929584,14.28054146,18.69025393,34.45421093,2.658897874,2.928002208,3.539631223,1.951029819,4.53456
47,785000,2290,9,47.6194,-122.151,1.757721389,0.100343398,2.923845216,13.2442422,-2.299156994,1.072899605,2.583562907,0.564018305,3.58598
48,450000,1250,7,47.6796,-122.301,6.353847855,0.087080505,10.6327446,7.447632547,-2.440922244,2.363938353,2.007896203,1.849060591,4.23651
50,228000,1190,7,47.4258,-122.322,1.157923641,9.476147016,7.833055477,21.04895197,2.248777801,2.058352661,3.046850771,0.146628437,4.84796
51,345000,3150,8,47.4934,-122.189,2.260937827,3.75366536,2.170282248,17.06341047,1.322732792,0.774857227,2.836936433,0.815779695,1.66739
52,600000,1410,7,47.6808,-122.384,1.663744622,0.312388576,16.02757893,6.720206353,-1.163507429,2.774310921,1.905118861,0.509070858,7.29209
53,585000,1980,7,47.6989,-122.369,1.801457988,0.832238561,16.02158973,8.529610519,-0.183636148,2.773937171,2.1435437,0.58859633,6.15643
55,885000,2830,9,47.6597,-122.29,7.250212141,0.74967549,8.695995279,5.706747644,-0.288114847,2.162862607,1.741649272,1.981030729,5.05943
56,292500,2250,7,47.3663,-122.114,6.836579862,2.83833812,11.4368712,31.97880593,1.043218712,2.436842452,3.465073369,1.922287586,2.28573
57,301000,2420,8,47.3663,-122.122,1.763754549,3.112715323,11.02533818,31.68144092,1.13549544,2.400196095,3.45573105,0.567444803,2.62882
59,430000,1850,8,47.5059,-122.149,3.604183909,0.942052947,5.412828301,18.0800675,-0.059693799,1.688771748,2.894810088,1.282095368,1.11944
60,650000,2150,8,47.4336,-122.339,1.607757855,8.358991809,8.978556755,20.19567191,2.123337823,2.194839152,3.00546832,0.474840572,4.64058
61,289000,1260,7,47.4366,-122.335,2.556234955,8.681110483,8.657470895,19.85169344,2.161149456,2.158422635,2.988289315,0.938535455,4.70091
62,505000,2519,8,47.4428,-122.344,0.386154344,8.0986547,9.330753274,19.19409732,2.091697961,2.233315748,2.9546028,-0.951518135,4.24832
63,549000,1540,8,47.6765,-122.32,3.017722593,0.389182781,11.58897502,6.756963229,-0.943706172,2.450054217,1.910573563,1.104502439,5.02342
64,425000,1660,7,47.6113,-122.297,1.621988582,0.267342375,8.078495642,2.330099891,-1.319225138,2.089205672,0.845911138,0.483652916,4.76792
65,317625,2770,7,47.5747,-122.304,2.460562574,0.602638654,9.921789167,4.823599301,-0.50643751,2.294733265,1.573520392,0.900390012,2.23967
67,287000,2240,7,47.3378,-122.257,3.624918489,13.17252131,11.70051575,31.28295524,2.578132941,2.459632922,3.443073388,1.287831802,0.99908
68,204000,1000,7,47.3621,-122.11,6.03472316,3.19241784,11.98223515,32.53391956,1.160778573,2.483425149,3.482283224,1.797529981,2.26714
71,325000,1260,7,47.7362,-122.179,0.889276485,0.693454197,7.651202411,13.66994131,-0.366070088,2.034862813,2.615199357,-0.117347085,0.75578
72,571000,2750,7,47.7168,-122.287,0.877816387,0.788736239,12.98517119,11.46272033,-0.237323312,2.563808029,2.439100059,-0.130317833,2.1516
73,360000,2380,8,47.3608,-122.036,2.141205511,1.28314365,16.41168849,35.76787431,0.249313043,2.797993794,3.577050125,0.761368993,1.96054
74,349000,1790,7,47.3511,-122.073,0.11159403,3.241751661,14.83747135,35.03524712,1.17611382,2.697155829,3.556354615,-2.192887725,1.52902
75,832500,3430,10,47.5822,-121.987,4.275960869,1.005298643,6.150953255,25.79710703,0.005284654,1.816607071,3.250262355,1.453008842,0.61613
76,380000,1760,7,47.6034,-122.125,1.509691788,0.532418417,2.834703245,15.24182788,-0.630325601,1.041937256,2.724043483,0.411905516,4.17244
77,480000,1040,7,47.5636,-122.394,0.262082773,0.77233907,16.53369922,6.988300095,-0.258331615,2.805400675,1.944237336,-1.339094896,3.75003
78,410000,1410,7,47.7073,-122.34,0.416924775,0.806218427,14.84642603,9.572989727,-0.215400572,2.697759165,2.258945563,-0.87484947,4.69272
79,720000,3450,10,47.342,-122.025,3.534113227,0.966038309,18.28187077,37.93416512,-0.034551788,2.9059099,3.63585216,1.262462413,1.3464
80,390000,2350,8,47.3512,-122.008,2.264664135,1.662750672,18.76544706,37.91518019,0.508473262,2.932017256,3.635351565,0.817426463,1.34238
81,360000,1900,7,47.349,-122.031,6.702286595,0.134313321,17.45811103,37.04011104,-2.007579989,2.859804356,3.612001408,1.902448751,1.39047
83,356000,1680,8,47.4811,-122.149,7.134127413,2.182783553,4.585789506,20.0380389,0.780600922,1.522962284,2.997632412,1.964889947,0.06935
84,315000,960,6,47.7264,-122.31,1.096424801,0.711648513,14.8561272,10.20466036,-0.34017115,2.698412386,2.322844514,0.092054705,3.06746
86,305000,2660,7,47.2909,-122.189,1.549403342,12.89963763,16.74277404,37.52082177,2.55719922,2.817966764,3.624896026,0.437869916,4.05328
87,461000,2770,9,47.5228,-122.199,3.154833937,2.461459673,4.830353347,14.08189421,0.900754537,1.574919622,2.644889874,1.14893586,0.16286
88,215000,1610,7,47.518,-122.194,2.932515484,2.88066431,4.393047991,14.72829758,1.058020931,1.480023289,2.689770649,1.075860582,0.25908
89,335000,1030,7,47.5394,-122.387,5.393457032,0.23487147,14.84456953,9.430495235,-1.448716852,2.69763411,2.243948612,1.685186558,2.19613
90,243500,1980,7,47.2897,-122.372,1.21706138,15.93319712,20.25751518,36.33227321,2.768404802,3.008525845,3.592706415,0.196439248,4.33041
93,430000,1580,8,47.687,-122.386,6.315150372,0.44824626,16.46302802,7.425029279,-0.802412511,2.801117141,2.004856628,1.842951567,7.1938
94,700000,1580,8,47.687,-122.386,4.696309811,0.44824626,16.46302802,7.425029279,-0.802412511,2.801117141,2.004856628,1.546777054,0
95,905000,3300,7,47.5873,-122.249,1.111219776,2.394091748,5.726085509,6.651361135,0.873003931,1.74503214,1.894821516,0.105458309,4.43321
96,247500,1960,7,47.3576,-122.277,2.344057509,13.80689964,10.11715874,28.87946927,2.625168441,2.314232867,3.363130937,0.851883406,1.26147
97,199000,1160,7,47.3036,-122.378,2.990115159,14.34119015,19.27710602,34.83964243,2.663135827,2.958918175,3.550755889,1.095311902,4.82355
98,314000,1810,7,47.4109,-121.958,3.947511332,4.666594645,15.39285796,35.85803859,1.540429608,2.733903633,3.57956777,1.373085338,0.96281
99,437500,2320,9,47.4838,-121.714,1.505213925,1.563662131,5.752182448,48.30762847,0.44703059,1.749579339,3.877589487,0.408935031,1.96044
100,850830,2070,9,47.6415,-122.315,1.846715815,0.410057945,9.667151022,3.087445918,-0.891456799,2.268733646,1.127344185,0.613408826,6.7318
101,555000,1980,7,47.6775,-122.372,2.258106998,0.315748223,15.05825896,6.184012782,-1.152810147,2.711926609,1.821967378,0.814526851,6.91235
102,699950,2190,8,47.7731,-122.08,6.078742124,6.618703535,10.77593611,18.28422999,1.88989951,2.37731551,2.906038939,1.804797787,1.17149
104,290000,1210,7,47.4375,-122.184,0.723805653,6.634555707,2.721789751,22.49532761,1.892291704,1.00128966,3.113307626,-0.323232358,0.62433
105,375000,2340,8,47.4431,-122.133,5.14592609,3.45503164,6.55198694,24.06334526,1.239831615,1.879768353,3.180689739,1.638205351,0.63209
106,460000,1670,7,47.6878,-122.38,10.91015801,0.787476868,16.10490487,7.411989845,-0.238921283,2.779123876,2.003098938,2.389694283,6.9161
107,188500,1240,8,47.3813,-122.322,0.682451678,11.05068064,10.07556792,25.99634198,2.402492022,2.310113475,3.257955835,-0.382063556,3.54936
108,680000,3140,10,47.7304,-122.082,5.960670753,3.347662778,6.284325613,19.98475357,1.208262424,1.838058535,2.994969662,1.785183017,1.40256
109,470000,2030,7,47.6417,-122.109,3.700099946,0.700280728,4.337718163,16.64573218,-0.356273985,1.467348441,2.812153858,1.308359832,1.45662
110,597750,2310,8,47.5386,-122.053,1.347777513,0.273766935,0.988197554,22.28260094,-1.295478138,-0.011872648,3.103806147,0.298456949,1.96403
111,570000,1260,6,47.6823,-122.349,1.611454249,1.08947409,13.77817207,6.723366024,0.085695093,2.623085606,1.905588926,0.477137032,5.82859
112,272500,1540,7,47.3624,-122.031,4.049390398,1.183424032,16.63731355,35.85945955,0.168411958,2.811647977,3.579607397,1.398566351,2.15713
113,329950,2080,7,47.5474,-122.295,3.911279981,0.473714354,9.844807534,7.910378134,-0.747150768,2.286944162,2.068175585,1.363864681,1.14757
114,480000,3230,9,47.3183,-122.253,4.504494302,14.01439247,13.7586654,33.47108493,2.640084835,2.621668836,3.51068193,1.505075632,1.87408
115,740500,4380,8,47.6981,-122.368,3.281121296,0.922561251,15.91033183,8.43590382,-0.080601508,2.766968699,2.132496861,1.188185223,6.13131
116,518500,1590,8,47.6824,-122.347,2.733105189,0.994348263,13.65451849,6.756045254,-0.005667768,2.614070492,1.910437697,1.005438395,5.74714
117,205425,880,6,47.5009,-122.248,0.726182249,0.906997894,3.681419202,14.02849572,-0.09761515,1.30329833,2.64109067,-0.319954264,0.44978
119,535000,1610,7,47.587,-122.294,5.900583583,0.560138631,8.617582602,4.009276072,-0.57957097,2.153804605,1.388610694,1.775051258,3.19773
120,660000,2400,8,47.7728,-122.386,1.186180329,1.235599865,22.41290038,7.291174127,0.211556573,3.109636703,1.986664593,0.170738337,7.27101
121,391500,1450,7,47.7288,-122.226,1.485639274,1.023238554,9.610419257,11.9692693,0.02297265,2.262847849,2.482342473,0.395845167,0.42408
122,395000,770,6,47.6999,-122.364,4.229022047,1.140812413,15.77185814,8.622731267,0.131740652,2.758227222,2.154401887,1.441970772,5.91417
123,445000,2100,7,47.5299,-122.266,3.235371349,0.300523556,6.962871688,10.53613285,-1.202229137,1.940591988,2.354810574,1.174143712,2.29928
124,770000,2910,9,47.6897,-122.098,5.958840637,0.898822225,1.968634071,19.09453545,-0.106670012,0.677339937,2.949402192,1.784875938,1.92582
126,445000,2100,8,47.5091,-122.244,3.712363252,1.205897996,4.12253936,13.3472859,0.187224514,1.416469323,2.591313061,1.311668669,1.00137
127,260000,2160,8,47.3129,-122.39,0.6275953,13.02371895,19.06827775,33.92478338,2.56677223,2.948026104,3.52414582,-0.465859747,4.87386
128,822500,2320,7,47.6763,-122.352,6.48482851,0.921701874,13.65502667,6.033590825,-0.081533455,2.614107708,1.797342327,1.869465373,6.17835
129,430000,2070,7,47.5319,-121.85,3.532296678,1.516350357,5.734617224,37.00070111,0.416306367,1.746521005,3.610936861,1.261948276,3.20412
130,212000,1060,7,47.2761,-122.152,5.147671639,12.33362719,18.93097923,39.93646734,2.51232945,2.940799693,3.687289875,1.638544504,4.65471
131,660500,2010,8,47.5343,-122.054,0.705070349,0.701344137,1.227294223,22.40141335,-0.354756589,0.204811928,3.109124053,-0.349457695,1.69838
132,784000,3950,9,47.697,-122.072,2.273371372,2.121845636,4.059835096,21.20037381,0.752286293,1.401142356,3.054018814,0.821263916,1.67366
133,453246,2010,8,47.5517,-121.998,3.456171901,0.241376637,3.410287055,25.70383654,-1.421396757,1.226796468,3.246640262,1.24016159,1.45062
134,675000,2140,9,47.6734,-122.38,4.28998382,0.73388753,15.42221149,5.848624398,-0.309399492,2.735808775,1.766206488,1.456282961,7.37719
135,199000,1320,7,47.3257,-122.296,4.458995105,16.20088806,13.93826985,32.26284715,2.785066059,2.634638283,3.473916325,1.494923428,1.25902
136,220000,2020,7,47.3309,-122.299,1.789050667,15.65674754,13.51089707,31.67012725,2.750901977,2.60349655,3.455373879,0.581685125,1.13559
137,452000,2590,8,47.7689,-122.266,1.41356643,2.04871262,14.73036288,6.600310487,0.717211606,2.689910866,1.887116691,0.346115894,2.9749
138,382500,1190,6,47.7135,-122.287,0.854088281,0.449270441,12.68279641,11.36005493,-0.800130253,2.540246462,2.430103249,-0.157720716,2.24693
139,519950,1170,8,47.6722,-122.381,1.254291463,0.71692195,15.4408746,5.738370935,-0.332788301,2.737018188,1.747175361,0.226570842,7.46
140,665000,1110,7,47.6338,-122.358,2.822804456,0.705507762,12.68317809,1.289857392,-0.348837505,2.540276555,0.254531664,1.037730879,6.47015
141,527700,2820,8,47.5707,-122.128,3.775783569,0.903617701,1.371022953,15.75825619,-0.101348905,0.315557142,2.75736443,1.328607929,2.3069
142,205000,1610,7,47.4563,-122.171,1.526592337,4.652001725,3.941940601,21.20876117,1.537297605,1.37167314,3.054414359,0.423038021,0.38999
143,420000,1060,7,47.7144,-122.351,1.998692868,0.627170288,15.98540048,10.25964379,-0.466537183,2.771675835,2.328218121,0.692493401,5.06432
144,500000,2030,8,47.5495,-122.174,1.152582518,0.305309277,4.243768096,13.63213175,-1.186429994,1.445451577,2.612429635,0.142005092,2.195
146,890000,2550,8,47.6354,-122.353,1.017926583,0.558706939,12.33456466,1.567549116,-0.582130203,2.512405457,0.449513327,0.017767796,6.51589
147,430000,2420,7,47.5262,-121.943,1.325453121,3.301617479,7.442183381,30.4966439,1.194412493,2.007164271,3.417616642,0.281754379,0.43814
148,258000,2260,8,47.3887,-122.286,1.523558707,12.52951229,7.563188068,25.36317977,2.528086845,2.023292803,3.233298507,0.421048853,3.42856
149,511000,1430,7,47.6873,-122.336,6.026363824,0.424006087,13.25109685,7.458066977,-0.858007467,2.58408033,2.009296262,1.796143815,5.13358
150,532170,1360,8,47.6838,-122.353,3.079537662,0.865934141,14.12088011,6.855970236,-0.143946422,2.647654561,1.92511984,1.124779476,5.93051
151,560000,1110,7,47.655,-122.359,2.441611735,0.560998424,13.24696974,3.630339626,-0.578037183,2.583768827,1.289326205,0.892658368,7.36803
152,282950,1250,7,47.3255,-122.304,6.007346356,15.76131993,14.21608393,32.24639241,2.757558833,2.654373995,3.473406174,1.792983113,1.54142
154,350000,700,7,47.679,-122.3,2.473208545,0.11119508,10.53262194,7.403922353,-2.196469141,2.354477293,2.002009908,0.905516314,4.23519
155,215000,1180,7,47.4479,-122.176,7.431806014,5.519259747,3.423526726,21.79447239,1.708243747,1.230671226,3.081656377,2.0057689,0.53074
156,650000,3960,9,47.525,-122.172,2.830038616,1.058726292,5.760732211,15.37916009,0.057066574,1.751064587,2.733013352,1.040290357,0.77943
157,320000,2640,8,47.3135,-122.369,6.228977109,13.68244755,17.99260091,33.6762403,2.61611381,2.889960613,3.516792553,1.829212131,4.561
158,247000,1270,7,47.2086,-121.996,4.839592144,15.93081328,30.77524692,51.62598846,2.768255176,3.426710696,3.944025198,1.576830449,2.34631
159,320000,1760,8,47.4715,-122.118,6.26659092,0.6240171,6.97874288,22.41184946,-0.471577507,1.942868797,3.109589813,1.835232494,0.94864
160,255000,2060,7,47.4877,-122.335,2.895453454,3.764195566,9.432116864,14.17274946,1.325534177,2.244120553,2.651321069,1.063141732,1.24201
161,438000,1780,7,47.7171,-122.193,7.514841986,0.614985731,6.845763829,14.48639284,-0.486156214,1.923630042,2.673209784,2.016879996,0.71623
162,900000,3400,10,47.6012,-122.023,3.044553445,0.541543909,6.923616138,22.88552453,-0.613331128,1.934938196,3.130504594,1.113354239,1.62822
163,441000,1910,7,47.7319,-122.224,3.089179132,1.397257301,9.688373002,11.77089056,0.334511245,2.270926507,2.465629582,1.127905403,0.63255
164,420000,2020,7,47.4582,-122.023,2.656920231,3.539162144,9.184976409,28.75798411,1.263890017,2.21756915,3.358915437,0.977167644,1.27562
165,370000,1580,7,47.7209,-122.168,2.269976372,1.022873955,5.795364448,15.43435486,0.022616268,1.757058365,2.73659586,0.819769422,0.94675
166,269950,1340,5,47.408,-122.327,3.164504054,9.57215787,8.801078997,23.02409452,2.258858663,2.174874327,3.136541255,1.151996346,3.99683
167,807100,2680,9,47.565,-122.125,2.977963715,0.670713652,2.012020774,16.17982335,-0.399412981,0.699139577,2.783764994,1.09123975,1.91365
168,653000,2680,8,47.7028,-122.231,3.383800973,1.914018289,8.686339908,12.14518127,0.649204848,2.161751666,2.496932488,1.218999626,1.51724
169,371500,1370,7,47.7458,-122.331,2.548109034,0.819087461,17.39953956,8.12314129,-0.19956441,2.856443744,2.094716938,0.935351529,4.21365
170,284000,1560,7,47.4776,-122.337,0.336017005,4.884581045,9.548113922,15.30121932,1.586083518,2.25634364,2.727932519,-1.090593511,1.88346
171,272000,2160,7,47.3026,-122.374,3.656935249,14.5730441,19.18117368,34.9188474,2.679173527,2.953929261,3.553026724,1.296625433,4.62852
172,313000,1340,7,47.7658,-122.339,6.955587107,0.472961789,18.95745975,6.076212613,-0.748740678,2.942197509,1.804381576,1.939545237,5.11004
174,673000,2590,8,47.5619,-122.125,1.944324774,0.43057145,2.305863844,16.30204631,-0.842641998,0.835455376,2.791290641,0.664914757,1.75861
175,425000,1120,8,47.6106,-122.31,0.958068832,0.752606454,9.055386711,1.40803705,-0.284212825,2.203359797,0.342196571,-0.042835654,4.62667
176,399950,1970,7,47.5868,-122.308,4.010450445,0.697545639,9.586300043,3.468388967,-0.360187335,2.260335,1.243690212,1.388903565,3.00737
177,385000,1220,6,47.6101,-122.307,0.193151122,0.524870725,8.83885015,1.638323165,-0.644603284,2.179156795,0.493673259,-1.644282383,4.60723
178,269950,1950,7,47.1976,-121.999,1.606870059,17.10676276,31.68642715,52.59482318,2.839473868,3.455888424,3.962617696,0.474288224,1.79926
179,330000,1350,7,47.7224,-122.358,1.169205839,0.655249118,16.96729347,11.10677332,-0.422739783,2.831287577,2.407555131,0.156324748,5.31186
180,260000,1670,7,47.3505,-122.179,1.769936206,7.39498436,10.4194934,31.46535911,2.000801981,2.343678417,3.44888723,0.570943504,1.97156
181,470000,2380,7,47.5384,-122.376,6.963223371,0.484262703,14.05785122,9.265764979,-0.725127744,2.643181045,2.226326423,1.940642495,1.91965
182,589000,2440,7,47.7044,-122.2,2.186989284,0.894071796,6.573764696,13.78346372,-0.111969199,1.883086682,2.623469592,0.782525842,1.65104
184,835000,3130,9,47.6993,-122.102,2.499862519,0.168701946,2.533937328,19.31819253,-1.779621755,0.929774349,2.96104727,0.916235738,1.5306
186,269000,1490,8,47.3099,-122.379,5.6811926,13.67835088,18.77839924,34.1517592,2.615814356,2.932707233,3.530814099,1.737161175,4.94876
187,560000,1900,8,47.62,-122.043,4.901683624,0.974355729,8.525202633,21.33746383,-0.025978817,2.143026792,3.060464393,1.589578743,2.23938
188,615000,1330,6,47.65,-122.34,5.44018055,0.749074227,11.72393388,3.451499761,-0.288917198,2.461632383,1.23880885,1.69381225,6.97014
189,585188,2230,8,47.6647,-122.153,2.07246252,0.788718442,2.999941933,14.19684021,-0.237345877,1.098592933,2.65301942,0.728737523,2.06489
190,305000,1650,7,47.726,-122.191,1.352700253,0.935279398,7.375039574,13.83291004,-0.066909973,1.998101268,2.627050539,0.302102782,0.2088
192,799000,2140,8,47.5505,-122.219,0.988980916,0.093400459,6.774418526,10.85623113,-2.370859019,1.913153537,2.384739213,-0.011080244,2.27245
193,400000,2180,7,47.7606,-122.336,3.83802545,0.453429687,18.47730193,6.575800812,-0.790915067,2.916543056,1.883396367,1.344958029,4.81443
194,230000,1060,7,47.7481,-122.3,1.751144183,0.211270652,15.44976757,7.868571005,-1.554615254,2.737593959,2.062876471,0.560269393,2.93219
195,256883,1690,8,47.2779,-122.347,1.2026375,17.94827485,20.40591264,37.5189647,2.887494002,3.015824694,3.62484653,0.184517062,3.0793
196,423000,1970,7,47.5511,-122.312,7.239426746,0.193625509,11.0083183,7.207398193,-1.641829352,2.398651196,1.975108025,1.979542024,0.59535
197,465000,2150,8,47.5488,-122.372,1.588987507,0.61506109,14.37180855,8.086076754,-0.486033682,2.665268548,2.090143663,0.463097025,2.49213
198,440000,1910,7,47.5385,-121.911,3.658841929,2.216705485,9.684965854,32.38747203,0.796022078,2.270574771,3.477771682,1.297146685,1.25706
199,385000,1350,7,47.4058,-121.994,3.978900908,2.011567886,15.31767191,34.19278299,0.698914461,2.729007189,3.532014598,1.381005627,0.99852
200,210000,860,6,47.5093,-122.184,1.430145324,2.923378391,3.798730898,15.94869231,1.072739931,1.334667037,2.769376839,0.357776064,0.72656
201,297000,1940,8,47.3777,-122.165,2.824666475,5.081271064,8.06969977,29.08248105,1.62556144,2.088116278,3.370135967,1.038390296,1.09986
202,470000,1010,7,47.675,-122.394,0.744214477,0.631513456,16.46015605,6.351268268,-0.459636029,2.800942676,1.84865452,-0.295426011,7.88966
203,226500,1300,7,47.3025,-122.37,2.026209,14.7193089,19.00951349,34.90114858,2.689160162,2.944939564,3.552519739,0.706166559,4.44183
204,274250,910,6,47.4787,-122.158,2.131558163,2.727411001,3.910568715,19.79649726,1.003352808,1.363682815,2.985505016,0.756853244,0.47402
205,840000,2480,9,47.5378,-122.219,1.951202805,0.861207469,6.462527241,11.83821891,-0.149419841,1.866020455,2.471333188,0.668446005,1.55344
206,677900,2440,8,47.7073,-122.114,1.321880205,0.865152882,3.068661935,19.00125845,-0.144849046,1.121241615,2.944505211,0.279055121,0.93673
207,425000,1010,7,47.5733,-122.381,6.466479452,0.748773912,15.23426087,5.659350326,-0.289318194,2.723546896,1.733309102,1.866631826,3.53035
208,180250,900,6,47.4604,-122.339,0.994317879,6.779243901,9.23107686,17.2187852,1.913865577,2.222575711,2.846000951,-0.005698325,3.04595
209,464000,2300,7,47.7067,-122.343,1.708925289,0.77809538,14.9741402,9.472582939,-0.250906166,2.706324727,2.24840162,0.535864687,4.83819
